Date,hashrate30var
2012/08/21,2.7595631381749E+24
2012/08/22,2.549579314246E+24
2012/08/23,2.4886048050356E+24
2012/08/24,2.4584777633502E+24
2012/08/25,2.4435864791774E+24
2012/08/26,2.7432320179531E+24
2012/08/27,2.9413679218353E+24
2012/08/28,2.6201841070735E+24
2012/08/29,2.8520134466254E+24
2012/08/30,2.8825679799457E+24
2012/08/31,2.430304820144E+24
2012/09/01,2.4063393311325E+24
2012/09/02,2.4503689232832E+24
2012/09/03,2.6786269131914E+24
2012/09/04,2.4873079316187E+24
2012/09/05,2.5437608112446E+24
2012/09/06,2.8529625701579E+24
2012/09/07,3.397563530481E+24
2012/09/08,3.5024163690108E+24
2012/09/09,3.4112625336919E+24
2012/09/10,3.3998199179478E+24
2012/09/11,3.4831146844367E+24
2012/09/12,3.3677816560777E+24
2012/09/13,3.3101978101779E+24
2012/09/14,3.3986459336948E+24
2012/09/15,3.3264097634872E+24
2012/09/16,2.9870538863935E+24
2012/09/17,2.7692415556363E+24
2012/09/18,2.9964422365149E+24
